pl_name,hostname,pl_masse,pl_rade,pl_orbper,pl_eqt,st_teff,discoverymethod,disc_year
HD 86226 b,HD 86226,143.0235,,1628.0,176.0,5863.0,Radial Velocity,2009.0
K2-26 b,K2-26,,2.67,14.5665,430.0,3785.0,Transit,2016.0
K2-394 b,K2-394,,1.692,5.095717,,4938.0,Transit,2022.0
HAT-P-13 c,HAT-P-13,,,446.27,,,Radial Velocity,2009.0
TOI-1806.01,TOI-1806,,3.4095367,15.1454693,337.47,3272.0,Transit,2024.0
HR 810 b,HR 810,,,302.79999,,6167.0,Radial Velocity,1999.0
TOI-5238 b,TOI-5238,,5.22,4.872171,,5631.0,Transit,2022.0
WASP-95 b,WASP-95,457.6752,13.78707,2.18467,,5830.0,Transit,2014.0
TOI-4495 b,TOI-4495,7.7,2.483,2.56699,1735.0,6210.0,Transit,2026.0
TOI-4495 c,TOI-4495,23.2,4.03,5.18553,1365.0,6210.0,Transit,2024.0
WASP-48 b,WASP-48,254.264,16.8135,2.14363,,5920.0,Transit,2011.0
HAT-P-40 b,HAT-P-40,152.5584,17.03768,4.45724,,6080.0,Transit,2012.0
WASP-94 A b,WASP-94 A,158.915,17.71022,3.95019,,6170.0,Transit,2014.0
WASP-62 b,WASP-62,165.2716,14.79588,4.41195,,6230.0,Transit,2012.0
WASP-63 b,WASP-63,117.5971,15.80469,4.37808,,5550.0,Transit,2012.0
WASP-74 b,WASP-74,228.8376,15.24424,2.13775,,5990.0,Transit,2015.0
XO-2 S b,XO-2 S,,,18.157,,5399.0,Radial Velocity,2014.0
HAT-P-2 b,HAT-P-2,,,5.6335158,,6380.0,Transit,2007.0
K2-165 b,K2-165,,1.27443657,2.354992,,5185.0,Transit,2018.0
HATS-59 c,HATS-59,,,1422.0,175.9,5670.0,Radial Velocity,2018.0
TOI-2068 b,TOI-2068,,1.821,7.768915,520.62,3710.0,Transit,2024.0
WASP-100 b,WASP-100,400.4658,14.90797,2.84938,,6900.0,Transit,2014.0
HD 20794 b,HD 20794,,,18.314,,5368.0,Radial Velocity,2011.0
LHS 1903 c,LHS 1903,4.55,2.046,6.226185,559.0,3664.0,Transit,2026.0
TOI-904 b,TOI-904,,2.426,10.8772,429.43,3770.2,Transit,2023.0
WASP-25 b,WASP-25,179.25522155,13.80946422,3.7648337,1217.0,5697.0,Transit,2010.0
Kepler-273 c,Kepler-273,,1.98,8.014927,,5626.0,Transit,2014.0
TOI-2019 b,TOI-2019,34.4,5.33275337,15.3444,917.46,5626.0,Transit,2024.0
TOI-1410.01,TOI-1410,12.5,3.10083009,1.21687,1236.7,4635.0,Transit,2024.0
HD 110067 g,HD 110067,8.4,2.607,54.76992,440.0,5266.0,Transit,2023.0
TOI-500 c,TOI-500,,,6.6356,,4440.0,Radial Velocity,2022.0
ups And c,ups And,,,241.258,,,Radial Velocity,1999.0
ups And d,ups And,,,1276.46,,,Radial Velocity,1999.0
TOI-283 b,TOI-283,6.54,2.34,17.61745,661.0,5213.0,Transit,2025.0
WASP-175 b,WASP-175,314.6517,13.540472,3.0652907,1571.0,6229.0,Transit,2019.0
WASP-164 b,WASP-164,676.9779,12.643752,1.7771255,1610.0,5806.0,Transit,2018.0
HD 207496 b,HD 207496,6.1,2.25,6.441008,743.0,4819.0,Transit,2023.0
GJ 1002 b,GJ 1002,,,10.3465,230.9,3024.0,Radial Velocity,2022.0
HD 110067 e,HD 110067,3.9,1.94,30.793091,533.0,5266.0,Transit,2023.0
TOI-1807 b,TOI-1807,2.44,1.49681583,0.54937097,1694.1,4914.0,Transit,2021.0
GJ 9827 b,GJ 9827,4.28,1.44,1.208974,1035.01,4236.0,Transit,2017.0
WASP-182 b,WASP-182,47.03884,9.52765,3.3769848,1479.0,5638.0,Transit,2019.0
